,index,NAICS,NAICS_Title
622,622,331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
623,623,331318,"Other Aluminum Rolling, Drawing, and Extruding"
624,624,3314,Nonferrous Metal (except Aluminum) Production and Processing
625,625,33141,Nonferrous Metal (except Aluminum) Smelting and Refining
626,626,331410,Nonferrous Metal (except Aluminum) Smelting and Refining
627,627,33142,"Copper Rolling, Drawing, Extruding, and Alloying"
628,628,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
629,629,33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying"
630,630,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
631,631,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
632,632,3315,Foundries
633,633,33151,Ferrous Metal Foundries
634,634,331511,Iron Foundries
635,635,331512,Steel Investment Foundries
636,636,331513,Steel Foundries (except Investment)
637,637,33152,Nonferrous Metal Foundries
638,638,331523,Nonferrous Metal Die-Casting Foundries
639,639,331524,Aluminum Foundries (except Die-Casting)
640,640,331529,Other Nonferrous Metal Foundries (except Die-Casting)
641,641,332,Fabricated Metal Product Manufacturing
642,642,3321,Forging and Stamping
643,643,33211,Forging and Stamping
644,644,332111,Iron and Steel Forging
645,645,332112,Nonferrous Forging
646,646,332114,Custom Roll Forming
647,647,332117,Powder Metallurgy Part Manufacturing
648,648,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
649,649,3322,Cutlery and Handtool Manufacturing
650,650,33221,Cutlery and Handtool Manufacturing
651,651,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
652,652,332216,Saw Blade and Handtool Manufacturing
653,653,3323,Architectural and Structural Metals Manufacturing
654,654,33231,Plate Work and Fabricated Structural Product Manufacturing
655,655,332311,Prefabricated Metal Building and Component Manufacturing
656,656,332312,Fabricated Structural Metal Manufacturing
657,657,332313,Plate Work Manufacturing
658,658,33232,Ornamental and Architectural Metal Products Manufacturing
659,659,332321,Metal Window and Door Manufacturing
660,660,332322,Sheet Metal Work Manufacturing
661,661,332323,Ornamental and Architectural Metal Work Manufacturing
662,662,3324,"Boiler, Tank, and Shipping Container Manufacturing"
663,663,33241,Power Boiler and Heat Exchanger Manufacturing
664,664,332410,Power Boiler and Heat Exchanger Manufacturing
665,665,33242,Metal Tank (Heavy Gauge) Manufacturing
666,666,332420,Metal Tank (Heavy Gauge) Manufacturing
667,667,33243,"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing"
668,668,332431,Metal Can Manufacturing
669,669,332439,Other Metal Container Manufacturing
670,670,3325,Hardware Manufacturing
671,671,33251,Hardware Manufacturing
672,672,332510,Hardware Manufacturing
673,673,3326,Spring and Wire Product Manufacturing
674,674,33261,Spring and Wire Product Manufacturing
675,675,332613,Spring Manufacturing
676,676,332618,Other Fabricated Wire Product Manufacturing
677,677,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
678,678,33271,Machine Shops
679,679,332710,Machine Shops
680,680,33272,"Turned Product and Screw, Nut, and Bolt Manufacturing"
681,681,332721,Precision Turned Product Manufacturing
682,682,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
683,683,3328,"Coating, Engraving, Heat Treating, and Allied Activities"
684,684,33281,"Coating, Engraving, Heat Treating, and Allied Activities"
685,685,332811,Metal Heat Treating
686,686,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
687,687,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
688,688,3329,Other Fabricated Metal Product Manufacturing
689,689,33291,Metal Valve Manufacturing
690,690,332911,Industrial Valve Manufacturing
691,691,332912,Fluid Power Valve and Hose Fitting Manufacturing
692,692,332913,Plumbing Fixture Fitting and Trim Manufacturing
693,693,332919,Other Metal Valve and Pipe Fitting Manufacturing
694,694,33299,All Other Fabricated Metal Product Manufacturing
695,695,332991,Ball and Roller Bearing Manufacturing
696,696,332992,Small Arms Ammunition Manufacturing
697,697,332993,Ammunition (except Small Arms) Manufacturing
698,698,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
699,699,332996,Fabricated Pipe and Pipe Fitting Manufacturing
700,700,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
701,701,333,Machinery Manufacturing
702,702,3331,"Agriculture, Construction, and Mining Machinery Manufacturing"
703,703,33311,Agricultural Implement Manufacturing
704,704,333111,Farm Machinery and Equipment Manufacturing
705,705,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
706,706,33312,Construction Machinery Manufacturing
707,707,333120,Construction Machinery Manufacturing
708,708,33313,Mining and Oil and Gas Field Machinery Manufacturing
709,709,333131,Mining Machinery and Equipment Manufacturing
710,710,333132,Oil and Gas Field Machinery and Equipment Manufacturing
711,711,3332,Industrial Machinery Manufacturing
712,712,33324,Industrial Machinery Manufacturing
713,713,333241,Food Product Machinery Manufacturing
714,714,333242,Semiconductor Machinery Manufacturing
715,715,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
716,716,333244,Printing Machinery and Equipment Manufacturing
717,717,333249,Other Industrial Machinery Manufacturing
718,718,3333,Commercial and Service Industry Machinery Manufacturing
719,719,33331,Commercial and Service Industry Machinery Manufacturing
720,720,333314,Optical Instrument and Lens Manufacturing
721,721,333316,Photographic and Photocopying Equipment Manufacturing
722,722,333318,Other Commercial and Service Industry Machinery Manufacturing
723,723,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
724,724,33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
725,725,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
726,726,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
727,727,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
728,728,3335,Metalworking Machinery Manufacturing
729,729,33351,Metalworking Machinery Manufacturing
730,730,333511,Industrial Mold Manufacturing
731,731,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
732,732,333515,Cutting Tool and Machine Tool Accessory Manufacturing
733,733,333517,Machine Tool Manufacturing
734,734,333519,Rolling Mill and Other Metalworking Machinery Manufacturing
735,735,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
736,736,33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
737,737,333611,Turbine and Turbine Generator Set Units Manufacturing
738,738,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
739,739,333613,Mechanical Power Transmission Equipment Manufacturing
740,740,333618,Other Engine Equipment Manufacturing
741,741,3339,Other General Purpose Machinery Manufacturing
742,742,33391,Pump and Compressor Manufacturing
743,743,333912,Air and Gas Compressor Manufacturing
744,744,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
745,745,33392,Material Handling Equipment Manufacturing
746,746,333921,Elevator and Moving Stairway Manufacturing
747,747,333922,Conveyor and Conveying Equipment Manufacturing
748,748,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
749,749,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
750,750,33399,All Other General Purpose Machinery Manufacturing
751,751,333991,Power-Driven Handtool Manufacturing
752,752,333992,Welding and Soldering Equipment Manufacturing
753,753,333993,Packaging Machinery Manufacturing
754,754,333994,Industrial Process Furnace and Oven Manufacturing
755,755,333995,Fluid Power Cylinder and Actuator Manufacturing
756,756,333996,Fluid Power Pump and Motor Manufacturing
757,757,333997,Scale and Balance Manufacturing
758,758,333999,All Other Miscellaneous General Purpose Machinery Manufacturing
759,759,334,Computer and Electronic Product Manufacturing
760,760,3341,Computer and Peripheral Equipment Manufacturing
761,761,33411,Computer and Peripheral Equipment Manufacturing
762,762,334111,Electronic Computer Manufacturing
763,763,334112,Computer Storage Device Manufacturing
764,764,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
765,765,3342,Communications Equipment Manufacturing
766,766,33421,Telephone Apparatus Manufacturing
767,767,334210,Telephone Apparatus Manufacturing
768,768,33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
769,769,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
770,770,33429,Other Communications Equipment Manufacturing
771,771,334290,Other Communications Equipment Manufacturing
772,772,3343,Audio and Video Equipment Manufacturing
773,773,33431,Audio and Video Equipment Manufacturing
774,774,334310,Audio and Video Equipment Manufacturing
775,775,3344,Semiconductor and Other Electronic Component Manufacturing
776,776,33441,Semiconductor and Other Electronic Component Manufacturing
777,777,334412,Bare Printed Circuit Board Manufacturing
778,778,334413,Semiconductor and Related Device Manufacturing
779,779,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
780,780,334417,Electronic Connector Manufacturing
781,781,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
782,782,334419,Other Electronic Component Manufacturing
783,783,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
784,784,33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
785,785,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
786,786,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
787,787,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
788,788,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
789,789,334514,Totalizing Fluid Meter and Counting Device Manufacturing
790,790,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
791,791,334516,Analytical Laboratory Instrument Manufacturing
792,792,334517,Irradiation Apparatus Manufacturing
793,793,334519,Other Measuring and Controlling Device Manufacturing
794,794,3346,Manufacturing and Reproducing Magnetic and Optical Media
795,795,33461,Manufacturing and Reproducing Magnetic and Optical Media
796,796,334613,Blank Magnetic and Optical Recording Media Manufacturing
797,797,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
798,798,335,"Electrical Equipment, Appliance, and Component Manufacturing"
799,799,3351,Electric Lighting Equipment Manufacturing
800,800,33511,Electric Lamp Bulb and Part Manufacturing
801,801,335110,Electric Lamp Bulb and Part Manufacturing
802,802,33512,Lighting Fixture Manufacturing
803,803,335121,Residential Electric Lighting Fixture Manufacturing
804,804,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
805,805,335129,Other Lighting Equipment Manufacturing
806,806,3352,Household Appliance Manufacturing
807,807,33521,Small Electrical Appliance Manufacturing
808,808,335210,Small Electrical Appliance Manufacturing
809,809,33522,Major Household Appliance Manufacturing
810,810,335220,Major Household Appliance Manufacturing
811,811,3353,Electrical Equipment Manufacturing
812,812,33531,Electrical Equipment Manufacturing
813,813,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
814,814,335312,Motor and Generator Manufacturing
815,815,335313,Switchgear and Switchboard Apparatus Manufacturing
816,816,335314,Relay and Industrial Control Manufacturing
817,817,3359,Other Electrical Equipment and Component Manufacturing
818,818,33591,Battery Manufacturing
819,819,335911,Storage Battery Manufacturing
820,820,335912,Primary Battery Manufacturing
821,821,33592,Communication and Energy Wire and Cable Manufacturing
822,822,335921,Fiber Optic Cable Manufacturing
823,823,335929,Other Communication and Energy Wire Manufacturing
824,824,33593,Wiring Device Manufacturing
825,825,335931,Current-Carrying Wiring Device Manufacturing
826,826,335932,Noncurrent-Carrying Wiring Device Manufacturing
827,827,33599,All Other Electrical Equipment and Component Manufacturing
828,828,335991,Carbon and Graphite Product Manufacturing
829,829,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
830,830,336,Transportation Equipment Manufacturing
831,831,3361,Motor Vehicle Manufacturing
832,832,33611,Automobile and Light Duty Motor Vehicle Manufacturing
833,833,336111,Automobile Manufacturing
834,834,336112,Light Truck and Utility Vehicle Manufacturing
835,835,33612,Heavy Duty Truck Manufacturing
836,836,336120,Heavy Duty Truck Manufacturing
837,837,3362,Motor Vehicle Body and Trailer Manufacturing
838,838,33621,Motor Vehicle Body and Trailer Manufacturing
839,839,336211,Motor Vehicle Body Manufacturing
840,840,336212,Truck Trailer Manufacturing
841,841,336213,Motor Home Manufacturing
842,842,336214,Travel Trailer and Camper Manufacturing
843,843,3363,Motor Vehicle Parts Manufacturing
844,844,33631,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
845,845,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
846,846,33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing
847,847,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
848,848,33633,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
849,849,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
850,850,33634,Motor Vehicle Brake System Manufacturing
851,851,336340,Motor Vehicle Brake System Manufacturing
852,852,33635,Motor Vehicle Transmission and Power Train Parts Manufacturing
853,853,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
854,854,33636,Motor Vehicle Seating and Interior Trim Manufacturing
855,855,336360,Motor Vehicle Seating and Interior Trim Manufacturing
856,856,33637,Motor Vehicle Metal Stamping
857,857,336370,Motor Vehicle Metal Stamping
858,858,33639,Other Motor Vehicle Parts Manufacturing
859,859,336390,Other Motor Vehicle Parts Manufacturing
860,860,3364,Aerospace Product and Parts Manufacturing
861,861,33641,Aerospace Product and Parts Manufacturing
862,862,336411,Aircraft Manufacturing
863,863,336412,Aircraft Engine and Engine Parts Manufacturing
864,864,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
865,865,336414,Guided Missile and Space Vehicle Manufacturing
866,866,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
867,867,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
868,868,3365,Railroad Rolling Stock Manufacturing
869,869,33651,Railroad Rolling Stock Manufacturing
870,870,336510,Railroad Rolling Stock Manufacturing
871,871,3366,Ship and Boat Building
872,872,33661,Ship and Boat Building
873,873,336611,Ship Building and Repairing
874,874,336612,Boat Building
875,875,3369,Other Transportation Equipment Manufacturing
876,876,33699,Other Transportation Equipment Manufacturing
877,877,336991,"Motorcycle, Bicycle, and Parts Manufacturing"
878,878,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
879,879,336999,All Other Transportation Equipment Manufacturing
880,880,337,Furniture and Related Product Manufacturing
881,881,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing
882,882,33711,Wood Kitchen Cabinet and Countertop Manufacturing
883,883,337110,Wood Kitchen Cabinet and Countertop Manufacturing
884,884,33712,Household and Institutional Furniture Manufacturing
885,885,337121,Upholstered Household Furniture Manufacturing
886,886,337122,Nonupholstered Wood Household Furniture Manufacturing
887,887,337124,Metal Household Furniture Manufacturing
888,888,337125,Household Furniture (except Wood and Metal) Manufacturing
889,889,337127,Institutional Furniture Manufacturing
890,890,3372,Office Furniture (including Fixtures) Manufacturing
891,891,33721,Office Furniture (including Fixtures) Manufacturing
892,892,337211,Wood Office Furniture Manufacturing
893,893,337212,Custom Architectural Woodwork and Millwork Manufacturing
894,894,337214,Office Furniture (except Wood) Manufacturing
895,895,337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
896,896,3379,Other Furniture Related Product Manufacturing
897,897,33791,Mattress Manufacturing
898,898,337910,Mattress Manufacturing
899,899,33792,Blind and Shade Manufacturing
900,900,337920,Blind and Shade Manufacturing
901,901,339,Miscellaneous Manufacturing
902,902,3391,Medical Equipment and Supplies Manufacturing
903,903,33911,Medical Equipment and Supplies Manufacturing
904,904,339112,Surgical and Medical Instrument Manufacturing
905,905,339113,Surgical Appliance and Supplies Manufacturing
906,906,339114,Dental Equipment and Supplies Manufacturing
907,907,339115,Ophthalmic Goods Manufacturing
908,908,339116,Dental Laboratories
909,909,3399,Other Miscellaneous Manufacturing
910,910,33991,Jewelry and Silverware Manufacturing
911,911,339910,Jewelry and Silverware Manufacturing
912,912,33992,Sporting and Athletic Goods Manufacturing
913,913,339920,Sporting and Athletic Goods Manufacturing
914,914,33993,"Doll, Toy, and Game Manufacturing"
915,915,339930,"Doll, Toy, and Game Manufacturing"
916,916,33994,Office Supplies (except Paper) Manufacturing
917,917,339940,Office Supplies (except Paper) Manufacturing
918,918,33995,Sign Manufacturing
919,919,339950,Sign Manufacturing
920,920,33999,All Other Miscellaneous Manufacturing
921,921,339991,"Gasket, Packing, and Sealing Device Manufacturing"
922,922,339992,Musical Instrument Manufacturing
923,923,339993,"Fastener, Button, Needle, and Pin Manufacturing"
924,924,339994,"Broom, Brush, and Mop Manufacturing"
925,925,339995,Burial Casket Manufacturing
926,926,339999,All Other Miscellaneous Manufacturing
927,927,42,Wholesale Trade
928,928,423,"Merchant Wholesalers, Durable Goods"
929,929,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
930,930,42311,Automobile and Other Motor Vehicle Merchant Wholesalers
931,931,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
932,932,42312,Motor Vehicle Supplies and New Parts Merchant Wholesalers
933,933,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
934,934,42313,Tire and Tube Merchant Wholesalers
935,935,423130,Tire and Tube Merchant Wholesalers
936,936,42314,Motor Vehicle Parts (Used) Merchant Wholesalers
937,937,423140,Motor Vehicle Parts (Used) Merchant Wholesalers
938,938,4232,Furniture and Home Furnishing Merchant Wholesalers
939,939,42321,Furniture Merchant Wholesalers
940,940,423210,Furniture Merchant Wholesalers
941,941,42322,Home Furnishing Merchant Wholesalers
942,942,423220,Home Furnishing Merchant Wholesalers
943,943,4233,Lumber and Other Construction Materials Merchant Wholesalers
944,944,42331,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
945,945,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
946,946,42332,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
947,947,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
948,948,42333,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
949,949,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
950,950,42339,Other Construction Material Merchant Wholesalers
951,951,423390,Other Construction Material Merchant Wholesalers
952,952,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers
953,953,42341,Photographic Equipment and Supplies Merchant Wholesalers
954,954,423410,Photographic Equipment and Supplies Merchant Wholesalers
955,955,42342,Office Equipment Merchant Wholesalers
956,956,423420,Office Equipment Merchant Wholesalers
957,957,42343,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
958,958,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
959,959,42344,Other Commercial Equipment Merchant Wholesalers
960,960,423440,Other Commercial Equipment Merchant Wholesalers
961,961,42345,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
962,962,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
963,963,42346,Ophthalmic Goods Merchant Wholesalers
964,964,423460,Ophthalmic Goods Merchant Wholesalers
965,965,42349,Other Professional Equipment and Supplies Merchant Wholesalers
966,966,423490,Other Professional Equipment and Supplies Merchant Wholesalers
967,967,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers
968,968,42351,Metal Service Centers and Other Metal Merchant Wholesalers
969,969,423510,Metal Service Centers and Other Metal Merchant Wholesalers
970,970,42352,Coal and Other Mineral and Ore Merchant Wholesalers
971,971,423520,Coal and Other Mineral and Ore Merchant Wholesalers
972,972,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers
973,973,42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
974,974,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
975,975,42362,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
976,976,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
977,977,42369,Other Electronic Parts and Equipment Merchant Wholesalers
978,978,423690,Other Electronic Parts and Equipment Merchant Wholesalers
979,979,4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"
980,980,42371,Hardware Merchant Wholesalers
981,981,423710,Hardware Merchant Wholesalers
982,982,42372,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
983,983,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
984,984,42373,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
985,985,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
986,986,42374,Refrigeration Equipment and Supplies Merchant Wholesalers
987,987,423740,Refrigeration Equipment and Supplies Merchant Wholesalers
988,988,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers"
989,989,42381,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
990,990,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
991,991,42382,Farm and Garden Machinery and Equipment Merchant Wholesalers
992,992,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
993,993,42383,Industrial Machinery and Equipment Merchant Wholesalers
994,994,423830,Industrial Machinery and Equipment Merchant Wholesalers
995,995,42384,Industrial Supplies Merchant Wholesalers
996,996,423840,Industrial Supplies Merchant Wholesalers
997,997,42385,Service Establishment Equipment and Supplies Merchant Wholesalers
998,998,423850,Service Establishment Equipment and Supplies Merchant Wholesalers
999,999,42386,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
1000,1000,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
1001,1001,4239,Miscellaneous Durable Goods Merchant Wholesalers
1002,1002,42391,Sporting and Recreational Goods and Supplies Merchant Wholesalers
1003,1003,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
1004,1004,42392,Toy and Hobby Goods and Supplies Merchant Wholesalers
1005,1005,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
1006,1006,42393,Recyclable Material Merchant Wholesalers
1007,1007,423930,Recyclable Material Merchant Wholesalers
1008,1008,42394,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
1009,1009,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
1010,1010,42399,Other Miscellaneous Durable Goods Merchant Wholesalers
1011,1011,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
1012,1012,424,"Merchant Wholesalers, Nondurable Goods"
1013,1013,4241,Paper and Paper Product Merchant Wholesalers
1014,1014,42411,Printing and Writing Paper Merchant Wholesalers
1015,1015,424110,Printing and Writing Paper Merchant Wholesalers
1016,1016,42412,Stationery and Office Supplies Merchant Wholesalers
1017,1017,424120,Stationery and Office Supplies Merchant Wholesalers
1018,1018,42413,Industrial and Personal Service Paper Merchant Wholesalers
1019,1019,424130,Industrial and Personal Service Paper Merchant Wholesalers
1020,1020,4242,Drugs and Druggists' Sundries Merchant Wholesalers
1021,1021,42421,Drugs and Druggists' Sundries Merchant Wholesalers
1022,1022,424210,Drugs and Druggists' Sundries Merchant Wholesalers
1023,1023,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers"
1024,1024,42431,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
1025,1025,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
1026,1026,42432,Men's and Boys' Clothing and Furnishings Merchant Wholesalers
1027,1027,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers
1028,1028,42433,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
1029,1029,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
1030,1030,42434,Footwear Merchant Wholesalers
1031,1031,424340,Footwear Merchant Wholesalers
1032,1032,4244,Grocery and Related Product Merchant Wholesalers
1033,1033,42441,General Line Grocery Merchant Wholesalers
1034,1034,424410,General Line Grocery Merchant Wholesalers
1035,1035,42442,Packaged Frozen Food Merchant Wholesalers
1036,1036,424420,Packaged Frozen Food Merchant Wholesalers
1037,1037,42443,Dairy Product (except Dried or Canned) Merchant Wholesalers
1038,1038,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers
1039,1039,42444,Poultry and Poultry Product Merchant Wholesalers
1040,1040,424440,Poultry and Poultry Product Merchant Wholesalers
1041,1041,42445,Confectionery Merchant Wholesalers
1042,1042,424450,Confectionery Merchant Wholesalers
1043,1043,42446,Fish and Seafood Merchant Wholesalers
1044,1044,424460,Fish and Seafood Merchant Wholesalers
1045,1045,42447,Meat and Meat Product Merchant Wholesalers
1046,1046,424470,Meat and Meat Product Merchant Wholesalers
1047,1047,42448,Fresh Fruit and Vegetable Merchant Wholesalers
1048,1048,424480,Fresh Fruit and Vegetable Merchant Wholesalers
1049,1049,42449,Other Grocery and Related Products Merchant Wholesalers
1050,1050,424490,Other Grocery and Related Products Merchant Wholesalers
1051,1051,4245,Farm Product Raw Material Merchant Wholesalers
1052,1052,42451,Grain and Field Bean Merchant Wholesalers
1053,1053,424510,Grain and Field Bean Merchant Wholesalers
1054,1054,42452,Livestock Merchant Wholesalers
1055,1055,424520,Livestock Merchant Wholesalers
1056,1056,42459,Other Farm Product Raw Material Merchant Wholesalers
1057,1057,424590,Other Farm Product Raw Material Merchant Wholesalers
1058,1058,4246,Chemical and Allied Products Merchant Wholesalers
1059,1059,42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
1060,1060,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
1061,1061,42469,Other Chemical and Allied Products Merchant Wholesalers
1062,1062,424690,Other Chemical and Allied Products Merchant Wholesalers
1063,1063,4247,Petroleum and Petroleum Products Merchant Wholesalers
1064,1064,42471,Petroleum Bulk Stations and Terminals
1065,1065,424710,Petroleum Bulk Stations and Terminals
1066,1066,42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
1067,1067,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
1068,1068,4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers"
1069,1069,42481,Beer and Ale Merchant Wholesalers
1070,1070,424810,Beer and Ale Merchant Wholesalers
1071,1071,42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
1072,1072,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
1073,1073,4249,Miscellaneous Nondurable Goods Merchant Wholesalers
1074,1074,42491,Farm Supplies Merchant Wholesalers
1075,1075,424910,Farm Supplies Merchant Wholesalers
1076,1076,42492,"Book, Periodical, and Newspaper Merchant Wholesalers"
1077,1077,424920,"Book, Periodical, and Newspaper Merchant Wholesalers"
1078,1078,42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
1079,1079,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
1080,1080,42494,Tobacco and Tobacco Product Merchant Wholesalers
1081,1081,424940,Tobacco and Tobacco Product Merchant Wholesalers
1082,1082,42495,"Paint, Varnish, and Supplies Merchant Wholesalers"
1083,1083,424950,"Paint, Varnish, and Supplies Merchant Wholesalers"
1084,1084,42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers
1085,1085,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
1086,1086,425,Wholesale Electronic Markets and Agents and Brokers
1087,1087,4251,Wholesale Electronic Markets and Agents and Brokers
1088,1088,42511,Business to Business Electronic Markets
1089,1089,425110,Business to Business Electronic Markets
1090,1090,42512,Wholesale Trade Agents and Brokers
1091,1091,425120,Wholesale Trade Agents and Brokers
1092,1092,44,Retail Trade
1093,1093,45,Retail Trade
1094,1094,441,Motor Vehicle and Parts Dealers
